#     t[s], lane,       x[m],     v[m/s],   a[m/s^2],     gap[m],    dv[m/s], label,           id,	roadId, originId, infoComment, absTime, xWithOffset[m]
      8.00,    1,       12.6,    17.6858,    4.64639,       0.00,   0.000000,  IDM,            3,        3,        3, , 1970-01-01T00:00:08Z,    12.6386
      9.00,    1,       32.6,    22.0651,    4.11615,       0.00,   0.000000,  IDM,            3,        3,        3, , 1970-01-01T00:00:09Z,    32.5590
     10.00,    1,       56.5,    25.7605,    3.31905,       0.00,   0.000000,  IDM,            3,        3,        3, , 1970-01-01T00:00:10Z,    56.5387
     11.00,    1,       83.8,    28.5788,    2.40738,       0.00,   0.000000,  IDM,            3,        3,        3, , 1970-01-01T00:00:11Z,    83.7839
      6.00,    2,       15.1,    13.8800,    0.00000,      23.40,  -0.063580,  IDM,            2,        1,        1, , 1970-01-01T00:00:06Z,    15.1102
      7.00,    2,       58.4,    13.8933,   -0.02249,       0.00,   0.000000,  IDM,            1,        1,        1, , 1970-01-01T00:00:07Z,    58.4224
      7.00,    2,       28.4,    13.0040,   -0.26411,      24.02,  -0.889348,  IDM,            2,        1,        1, , 1970-01-01T00:00:07Z,    28.4026
      8.00,    2,       72.3,    13.8828,   -0.00473,       0.00,   0.000000,  IDM,            1,        1,        1, , 1970-01-01T00:00:08Z,    72.3092
      8.00,    2,       41.3,    12.9288,    0.00635,      24.96,  -0.953985,  IDM,            2,        1,        1, , 1970-01-01T00:00:08Z,    41.3499
      9.00,    1,        0.0,    13.8800,    0.00000,       0.00,   0.000000,  IDM,            4,        1,        1, , 1970-01-01T00:00:09Z,     0.0000
      9.00,    2,       86.2,    13.8806,   -0.00100,       0.00,   0.000000,  IDM,            1,        1,        1, , 1970-01-01T00:00:09Z,    86.1906
      9.00,    2,       54.3,    12.9625,    0.04466,      25.90,  -0.918059,  IDM,            2,        1,        1, , 1970-01-01T00:00:09Z,    54.2929
     10.00,    1,       15.7,    15.5835,   -3.73377,       0.00,   0.000000,  IDM,            4,        1,        1, , 1970-01-01T00:00:10Z,    15.7269
     10.00,    2,      100.1,    13.8801,   -0.00021,       0.00,   0.000000,  IDM,            1,        1,        1, , 1970-01-01T00:00:10Z,   100.0709
     10.00,    2,       67.3,    13.0089,    0.04593,      26.79,  -0.871233,  IDM,            2,        1,        1, , 1970-01-01T00:00:10Z,    67.2786
     11.00,    1,       80.4,    13.4044,    0.74697,       0.00,   0.000000,  IDM,            2,        1,        1, , 1970-01-01T00:00:11Z,    80.3861
     11.00,    1,       30.3,    13.9485,   -0.92094,      44.04,   0.544085,  IDM,            4,        1,        1, , 1970-01-01T00:00:11Z,    30.3471
     11.00,    2,      114.0,    13.8800,   -0.00004,       0.00,   0.000000,  IDM,            1,        1,        1, , 1970-01-01T00:00:11Z,   113.9510
